,elbo
0,-3292558336.0
1,-3159643904.0
2,-3166998016.0
3,-3197128192.0
4,-3241121024.0
5,-3086806272.0
6,-3062744064.0
7,-3180522240.0
8,-3042969600.0
9,-3102092032.0
10,-3025407232.0
11,-3023356416.0
12,-2922768896.0
13,-2918071040.0
14,-2954294272.0
15,-2839397888.0
16,-2862644224.0
17,-2886569984.0
18,-2884199168.0
19,-2846663680.0
20,-2909588480.0
21,-2745705216.0
22,-2818508544.0
23,-2812470272.0
24,-2802521600.0
25,-2772847872.0
26,-2745869824.0
27,-2755549184.0
28,-2726977280.0
29,-2771006464.0
30,-2702090496.0
31,-2709889792.0
32,-2769890304.0
33,-2725327616.0
34,-2632212224.0
35,-2646778112.0
36,-2627246336.0
37,-2671137280.0
38,-2621725440.0
39,-2614124288.0
40,-2582525440.0
41,-2628835328.0
42,-2676128000.0
43,-2557567744.0
44,-2548440320.0
45,-2589315840.0
46,-2612904960.0
47,-2510839808.0
48,-2539252480.0
49,-2588726272.0
50,-2516224256.0
51,-2530471424.0
52,-2495773184.0
53,-2451764736.0
54,-2441895680.0
55,-2459373568.0
56,-2484734464.0
57,-2508413440.0
58,-2412510976.0
59,-2407419648.0
60,-2441128960.0
61,-2370342400.0
62,-2371403008.0
63,-2419038976.0
64,-2429132544.0
65,-2421888256.0
66,-2376770816.0
67,-2316427520.0
68,-2354694144.0
69,-2337815040.0
70,-2327414528.0
71,-2330475264.0
72,-2293580288.0
73,-2346304256.0
74,-2343494912.0
75,-2324056064.0
76,-2311182592.0
77,-2277048064.0
78,-2313739520.0
79,-2273288448.0
80,-2323808000.0
81,-2344468992.0
82,-2272019456.0
83,-2247012608.0
84,-2274088960.0
85,-2233723136.0
86,-2185861120.0
87,-2209489152.0
88,-2180769024.0
89,-2231020032.0
90,-2251636480.0
91,-2203424768.0
92,-2211633152.0
93,-2221121536.0
94,-2181051904.0
95,-2159539200.0
96,-2165344512.0
97,-2139923840.0
98,-2134807936.0
99,-2185218048.0
100,-2169640960.0
101,-2090481664.0
102,-2131352576.0
103,-2134857472.0
104,-2113998592.0
105,-2125555456.0
106,-2084263680.0
107,-2114956416.0
108,-2098279552.0
109,-2119478656.0
110,-2115967104.0
111,-2100756608.0
112,-2092586368.0
113,-2107904384.0
114,-2160303104.0
115,-2115636352.0
116,-2064527488.0
117,-2066711424.0
118,-2078873344.0
119,-2059211392.0
120,-2075306368.0
121,-2061576576.0
122,-2079341568.0
123,-2054894976.0
124,-2029168256.0
125,-2091791232.0
126,-2061923200.0
127,-2023267584.0
128,-2045330048.0
129,-2080706560.0
130,-2016242048.0
131,-2053300096.0
132,-2028325632.0
133,-2050873472.0
134,-2063857664.0
135,-2059400320.0
136,-2020615168.0
137,-1994435840.0
138,-2061648512.0
139,-2021989888.0
140,-2027976064.0
141,-2004769920.0
142,-2047846400.0
143,-2083078528.0
144,-1987092608.0
145,-2035013120.0
146,-1981836032.0
147,-1988634240.0
148,-1990938752.0
149,-1970032000.0
150,-2015607808.0
151,-1988713472.0
152,-1983572992.0
153,-1973436288.0
154,-1965305984.0
155,-1959219456.0
156,-1974443392.0
157,-1962482816.0
158,-1985120896.0
159,-1988641792.0
160,-1995275264.0
161,-1984168448.0
162,-1971784320.0
163,-1984614784.0
164,-1948925824.0
165,-1943544832.0
166,-1925142912.0
167,-1973540864.0
168,-1956775424.0
169,-1943474944.0
170,-1985867904.0
171,-1972637696.0
172,-1937526784.0
173,-1933117824.0
174,-1938552064.0
175,-1942404992.0
176,-1936559872.0
177,-1933834880.0
178,-1941580672.0
179,-1934255744.0
180,-1932200192.0
181,-1945811840.0
182,-1926069376.0
183,-1956387328.0
184,-1942851584.0
185,-1973213568.0
186,-1910195712.0
187,-1931054336.0
188,-1896386048.0
189,-1920189568.0
190,-1908628992.0
191,-1942436480.0
192,-1934305536.0
193,-1925924352.0
194,-1941766400.0
195,-1955084544.0
196,-1908455808.0
197,-1926498944.0
198,-1935738880.0
199,-1896247808.0
200,-1905051136.0
201,-1933825792.0
202,-1891458816.0
203,-1905613184.0
204,-1901975936.0
205,-1886911872.0
206,-1895184256.0
207,-1908728448.0
208,-1960388608.0
209,-1895469568.0
210,-1917571072.0
211,-1913518976.0
212,-1903554816.0
