,elbo
0,-2903628288.0
1,-2903522560.0
2,-2903676672.0
3,-2903749632.0
4,-2903335680.0
5,-2903056640.0
6,-2903579392.0
7,-2903603968.0
8,-2903236096.0
9,-2903078656.0
10,-2902866688.0
11,-2903378432.0
12,-2903303424.0
13,-2903357440.0
14,-2903794176.0
15,-2903564288.0
16,-2903313664.0
17,-2903530752.0
18,-2903159552.0
19,-2903047424.0
20,-2903089152.0
21,-2903436032.0
22,-2903102464.0
23,-2902881024.0
24,-2902768896.0
25,-2902967296.0
26,-2902797824.0
27,-2902836736.0
28,-2902835456.0
29,-2903164672.0
30,-2903269376.0
31,-2902925824.0
32,-2902789376.0
33,-2902984704.0
34,-2902870528.0
35,-2902749440.0
36,-2902679296.0
37,-2902909952.0
38,-2902814976.0
39,-2902778624.0
40,-2902797056.0
41,-2902611712.0
42,-2902365952.0
43,-2902224384.0
44,-2901792768.0
45,-2902242816.0
46,-2902262272.0
47,-2902380544.0
48,-2902032896.0
49,-2901382912.0
50,-2902020352.0
51,-2900954368.0
52,-2901440768.0
53,-2901443584.0
54,-2900370688.0
55,-2901309696.0
56,-2900954112.0
57,-2899837952.0
58,-2900210688.0
59,-2899350272.0
60,-2899039232.0
61,-2900504064.0
62,-2899004160.0
63,-2898244864.0
64,-2897870592.0
65,-2898509056.0
66,-2898077184.0
67,-2897400832.0
68,-2898528256.0
69,-2896682752.0
70,-2895919104.0
71,-2893850880.0
72,-2894933248.0
73,-2895766784.0
74,-2893152000.0
75,-2895161344.0
76,-2891812352.0
77,-2891380736.0
78,-2887529216.0
79,-2889765632.0
80,-2892347136.0
81,-2885838848.0
82,-2884375040.0
83,-2886747904.0
84,-2884738048.0
85,-2883386368.0
86,-2884660224.0
87,-2883183104.0
88,-2881325312.0
89,-2880438784.0
90,-2878335744.0
91,-2877472768.0
92,-2876660736.0
93,-2876553728.0
94,-2871865600.0
95,-2873564416.0
96,-2872559616.0
97,-2873372928.0
98,-2865925120.0
99,-2867979776.0
100,-2861894400.0
101,-2861234176.0
102,-2864521728.0
103,-2859623168.0
104,-2854270720.0
105,-2855843840.0
106,-2857784576.0
107,-2850656000.0
108,-2850508032.0
109,-2844645120.0
110,-2845561856.0
111,-2845312256.0
112,-2844748800.0
113,-2838242560.0
114,-2840278528.0
115,-2832484864.0
116,-2839584256.0
117,-2828102400.0
118,-2835567360.0
119,-2829173248.0
120,-2825067264.0
121,-2820062720.0
122,-2818448896.0
123,-2823038464.0
124,-2818676224.0
125,-2814464256.0
126,-2814255872.0
127,-2808847872.0
128,-2805209856.0
129,-2808634880.0
130,-2798753024.0
131,-2793692416.0
132,-2797421312.0
133,-2795301632.0
134,-2789827584.0
135,-2788294144.0
136,-2786394880.0
137,-2774486272.0
138,-2779857664.0
139,-2769988352.0
140,-2768046592.0
141,-2772136192.0
142,-2773965312.0
143,-2762499840.0
144,-2768150016.0
145,-2758992896.0
146,-2755100928.0
147,-2754046208.0
148,-2749632768.0
149,-2746449920.0
150,-2746649856.0
151,-2740410880.0
152,-2736175104.0
153,-2738271488.0
154,-2723052032.0
155,-2727715840.0
156,-2727990528.0
157,-2727066624.0
158,-2724144384.0
159,-2721466112.0
160,-2717708544.0
161,-2713583360.0
162,-2709317632.0
163,-2695585792.0
164,-2705249792.0
165,-2689384448.0
166,-2693308672.0
167,-2684432384.0
168,-2689446144.0
169,-2678169088.0
170,-2682743808.0
171,-2672379904.0
172,-2669083648.0
173,-2672696064.0
174,-2663522816.0
175,-2662120448.0
176,-2664178944.0
177,-2665062656.0
178,-2652790528.0
179,-2641571584.0
180,-2649293312.0
181,-2641082112.0
182,-2632806144.0
183,-2630587136.0
184,-2623755520.0
185,-2620207616.0
186,-2622070528.0
187,-2623087104.0
188,-2624183552.0
189,-2618726144.0
190,-2610883072.0
191,-2612942848.0
192,-2601622528.0
193,-2612055296.0
194,-2588637440.0
195,-2592759808.0
196,-2582554112.0
197,-2582310144.0
198,-2579954432.0
199,-2577093376.0
200,-2577143808.0
201,-2559985152.0
202,-2554413568.0
203,-2549656320.0
204,-2552258048.0
205,-2554394880.0
206,-2542481152.0
207,-2543385344.0
208,-2537790208.0
209,-2538862848.0
210,-2537200640.0
211,-2539281408.0
212,-2519625984.0
213,-2518477312.0
214,-2518022144.0
215,-2524479744.0
216,-2501362944.0
217,-2512546048.0
218,-2503996160.0
219,-2496751360.0
220,-2491701248.0
221,-2496086016.0
222,-2481170432.0
223,-2484318720.0
224,-2472936960.0
225,-2481962496.0
226,-2487975680.0
227,-2472389120.0
228,-2463085568.0
229,-2463427840.0
230,-2454756352.0
231,-2462431488.0
232,-2450944000.0
233,-2432777216.0
234,-2451167744.0
235,-2436170496.0
236,-2434438912.0
237,-2417268736.0
238,-2425746688.0
239,-2423781632.0
240,-2415503872.0
241,-2406007552.0
242,-2407846400.0
243,-2394412288.0
244,-2405625856.0
245,-2403238656.0
246,-2397021952.0
247,-2396595712.0
248,-2386311424.0
249,-2374119168.0
250,-2375463936.0
251,-2378629120.0
252,-2366501888.0
253,-2371386112.0
254,-2363676928.0
255,-2368610304.0
256,-2360167936.0
257,-2347986176.0
