,elbo
0,-1739299328.0
1,-1577340032.0
2,-1550157824.0
3,-1542015872.0
4,-1517105792.0
5,-1517046528.0
6,-1533194880.0
7,-1513740800.0
8,-1518670464.0
9,-1501702784.0
10,-1467279232.0
11,-1386673024.0
12,-1288017536.0
13,-1199869568.0
14,-1201587712.0
15,-1153985024.0
16,-1132145152.0
17,-1144374528.0
18,-1105327232.0
19,-1097008256.0
20,-1083032576.0
21,-1062651712.0
22,-1044862720.0
23,-1036252096.0
24,-1016164096.0
25,-1025331968.0
26,-1012197440.0
27,-1011152320.0
28,-992945856.0
29,-988803712.0
30,-991840960.0
31,-978179840.0
32,-990852224.0
33,-964023936.0
34,-958030336.0
35,-951648064.0
36,-948961472.0
37,-962884480.0
38,-943463232.0
39,-941380800.0
40,-942043136.0
41,-969901888.0
42,-946779392.0
43,-946853376.0
44,-933527360.0
45,-932800384.0
46,-929838080.0
47,-938441536.0
48,-920976064.0
49,-917121216.0
50,-924254656.0
51,-928390016.0
52,-937335232.0
53,-915830272.0
54,-941700800.0
55,-915586624.0
56,-932986560.0
57,-912060672.0
58,-920228352.0
59,-911229504.0
60,-907496064.0
61,-912506688.0
62,-912796416.0
63,-905292928.0
64,-906532288.0
65,-910046720.0
66,-900612480.0
67,-903113088.0
68,-913683072.0
69,-908368640.0
70,-898325056.0
71,-903310720.0
72,-925353600.0
73,-906267712.0
74,-911999680.0
75,-905685696.0
76,-902369536.0
77,-898128320.0
78,-894634304.0
79,-903628672.0
80,-895012288.0
81,-914497920.0
82,-927403008.0
83,-921681216.0
84,-910064128.0
85,-914141504.0
86,-925288320.0
87,-922571904.0
88,-923016512.0
89,-907467776.0
90,-897993600.0
91,-903989312.0
92,-901946816.0
93,-902141760.0
94,-910025024.0
95,-904400000.0
96,-908287680.0
97,-906857152.0
98,-908667072.0
99,-926742784.0
100,-959344832.0
101,-929111424.0
102,-902346496.0
103,-921503360.0
104,-915074304.0
105,-907042240.0
106,-942989568.0
107,-930988992.0
108,-913818496.0
109,-916417600.0
110,-900141888.0
111,-897088576.0
112,-898513600.0
113,-895893440.0
114,-907876032.0
115,-924586624.0
116,-957165312.0
117,-973198336.0
118,-943649152.0
119,-918586176.0
120,-925569152.0
121,-976420800.0
122,-983615744.0
123,-952180160.0
124,-933509440.0
125,-915413696.0
126,-900619392.0
127,-907298240.0
128,-893018304.0
129,-887716928.0
130,-917052992.0
131,-892851968.0
132,-906201600.0
133,-913709696.0
134,-907904064.0
135,-908551168.0
136,-910585280.0
137,-934200768.0
138,-957982336.0
139,-1009922304.0
140,-999570496.0
141,-998367488.0
142,-953424000.0
143,-1011829760.0
144,-1073181696.0
145,-971772928.0
146,-1028528896.0
147,-1080757120.0
148,-1018033088.0
149,-960254528.0
150,-955759552.0
